,Statement,Link,Date,Source,Label
42,“Biden and Obama allowed grown men in restrooms with little girls. Trump has rescued over 300 missing children from (pedophiles) and perverts.”,https://www.politifact.com/factchecks/2020/oct/02/facebook-posts/post-paints-false-picture-biden-trump-and-child-sa/,2020-10-02,Facebook posts,false
43,"Says Joe Biden “made it clear..No More Coal Fired Power Plants!! So, No More Coal!! Wake Up WV, PA,OH, KY”",https://www.politifact.com/factchecks/2020/oct/02/facebook-posts/bidens-nobodys-going-build-another-coal-plant-cont/,2020-10-02,Facebook posts,half-true
44,Gas prices during the Obama-Biden administration were $5.49 a gallon.,https://www.politifact.com/factchecks/2020/oct/02/viral-image/photo-shows-real-gas-prices-during-obama-biden-adm/,2020-10-02,Viral image,half-true
45,Two “Doomsday Planes” took flight because of President Donald Trump’s COVID-19 diagnosis.,https://www.politifact.com/factchecks/2020/oct/02/facebook-posts/no-evidence-doomsday-planes-trump-covid-19-diagnos/,2020-10-02,Facebook posts,false
46,Says Donald Trump’s reelection campaign emailed supporters to “donate to help him recover from” COVID-19.,https://www.politifact.com/factchecks/2020/oct/02/tweets/trump-did-not-ask-supporters-421-million-help-him-/,2020-10-02,Tweets,pants-fire
47,Joe Biden’s eyes were black during the debate because he was wearing Mojo Vision lenses.,https://www.politifact.com/factchecks/2020/oct/02/viral-image/joe-bidens-eyes-were-blue-during-debate-not-black/,2020-10-02,Viral image,pants-fire
48,An episode of “The Simpsons” showed Donald Trump in a coffin.,https://www.politifact.com/factchecks/2020/oct/02/facebook-posts/no-simpsons-did-not-feature-trump-coffin/,2020-10-02,Facebook posts,pants-fire
49,Says President Donald Trump started a trade war that “led to a surge in farm bankruptcies.”,https://www.politifact.com/factchecks/2020/oct/02/joe-biden/trade-wars-hit-farmers-hard-biden-attack-trump-ove/,2020-10-02,Joe Biden,half-true
50,"“If you just count all the deaths in the red states, we are number two in the world in deaths, just behind Brazil.”",https://www.politifact.com/factchecks/2020/oct/01/joe-biden/yes-coronavirus-deaths-red-states-add-second-highe/,2020-10-01,Joe Biden,mostly-true
51,"Says Joe Biden “passed a tax bill that gave us all these privileges for depreciation and for tax credits. We built a building, and we get tax credits like the hotel on Pennsylvania Ave.”",https://www.politifact.com/factchecks/2020/oct/01/donald-trump/trumps-tax-defense-jumbles-details-overstates-bide/,2020-10-01,Donald Trump,half-true
52,“There's 100 million people that have preexisting conditions.”,https://www.politifact.com/factchecks/2020/oct/01/joe-biden/bidens-definitely-ballpark-how-many-people-have-pr/,2020-10-01,Joe Biden,mostly-true
53,"""Last week Joe Biden flashed the ‘white power’ sign. President Trump condemned white supremacists yesterday. Why hasn't Joe Biden?”",https://www.politifact.com/factchecks/2020/oct/01/donald-trump/no-joe-biden-didnt-use-racist-hand-gesture-he-was-/,2020-10-01,Donald Trump,pants-fire
54,“I don’t think there’s any doubt (Joe) Biden’s senile.”,https://www.politifact.com/factchecks/2020/oct/01/brit-hume/geriatrics-experts-say-brit-humes-claim-joe-biden-/,2020-10-01,Brit Hume,false
55,Poll watchers in Philadelphia “were thrown out.”,https://www.politifact.com/factchecks/2020/oct/01/donald-trump/fact-checking-trumps-debate-comment-poll-watchers-/,2020-10-01,Donald Trump,false
56,“Suburbs are by and large integrated.”,https://www.politifact.com/factchecks/2020/oct/01/joe-biden/are-suburbs-and-large-integrated-joe-biden-said/,2020-10-01,Joe Biden,half-true
57,"Before the coronavirus pandemic, the United States had “the greatest economy in the history of our country.”",https://www.politifact.com/factchecks/2020/oct/01/donald-trump/donald-trumps-dubious-statement-about-presiding-ov/,2020-10-01,Donald Trump,false
58,"“For example, when the COVID-19 pandemic hit, my Administration implemented a program to provide any individual without health-insurance coverage access to necessary COVID‑19‑related testing and treatment.”",https://www.politifact.com/factchecks/2020/oct/01/donald-trump/trumps-covid-program-uninsured-people-it-exists-fa/,2020-10-01,Donald Trump,mostly-true
59,"“9,871,525 is the number of registered voters in AZ according to FB. AZ population is 7,270,000.”",https://www.politifact.com/factchecks/2020/oct/01/facebook-posts/facebook-didnt-report-nearly-10-million-registered/,2020-10-01,Facebook posts,barely-true
60,“A federal judge just ordered Wisconsin must have all ballots counted by 8 p.m. on the day of the election.”,https://www.politifact.com/factchecks/2020/sep/30/facebook-posts/no-votes-dont-have-be-counted-8-pm-nov-3/,2020-09-30,Facebook posts,pants-fire
61,"President Donald Trump’s tax returns show “what any wealthy person's tax history is, if you can believe it — which is good years and bad years, years of immense taxes and years of almost no taxes at all because you carry over losses.”",https://www.politifact.com/factchecks/2020/sep/30/hugh-hewitt/experts-say-trump-tax-report-shows-aggressive-tax-/,2020-09-30,Hugh Hewitt,barely-true
62,"In manufacturing, ""I brought back 700,000 jobs. (Obama and Biden) brought back nothing.""",https://www.politifact.com/factchecks/2020/sep/30/donald-trump/during-debate-donald-trump-overstates-manufacturin/,2020-09-30,Donald Trump,false
63,"Says Joe Biden “had 308,000 military people dying because you couldn’t provide them proper healthcare in the military.”",https://www.politifact.com/factchecks/2020/sep/30/donald-trump/donald-trump-falsely-says-308000-military-people-d/,2020-09-30,Donald Trump,false
64,"“Amy Coney Barrett has said that a woman should not be able to own property, buy or sell without the permission of her husband or a male relative.”",https://www.politifact.com/factchecks/2020/sep/30/facebook-posts/no-proof-amy-coney-barrett-said-woman-needs-mans-p/,2020-09-30,Facebook posts,false
65,"Says Miami-Dade Mayor Carlos Gimenez “approved a 67% pay raise for himself and increased his own pension. He makes $250,000 a year, more than almost every big-city Mayor in the country. He also kept his taxpayer-funded Mercedes-Benz after slashing $400 million in government jobs and spending.”",https://www.politifact.com/factchecks/2020/sep/30/debbie-mucarsel-powell/florida-congressional-race-carlos-gimenezs-salary-/,2020-09-30,Debbie Mucarsel-Powell,half-true
66,“BLM Activist kills three people in a Louisville bar wearing a Breonna Taylor tee shirt last Friday.”,https://www.politifact.com/factchecks/2020/sep/30/peggy-hubbard/alleged-shooter-triple-homicide-not-blm-activist-o/,2020-09-30,Peggy Hubbard,barely-true
67,Photo shows “all the men who have killed police officers this year (2020).”,https://www.politifact.com/factchecks/2020/sep/30/viral-image/image-shows-some-people-accused-killing-officers-2/,2020-09-30,Viral image,barely-true
68,Says Joe Biden was “wearing a wire” during the first presidential debate.,https://www.politifact.com/factchecks/2020/sep/30/facebook-posts/biden-did-not-wear-wire-during-first-presidential-/,2020-09-30,Facebook posts,pants-fire
69,“We have a higher deficit with China now than we did before.”,https://www.politifact.com/factchecks/2020/sep/30/joe-biden/joe-biden-base-debate-attack-over-us-china-trade-d/,2020-09-30,Joe Biden,barely-true
70,"""You said you went to Delaware State but you forgot the name of your college.""",https://www.politifact.com/factchecks/2020/sep/30/donald-trump/biden-never-said-he-went-delaware-state-university/,2020-09-29,Donald Trump,false
71,“Word on the street is that Joe Biden got tonight’s debate questions in advance.”,https://www.politifact.com/factchecks/2020/sep/30/todd-starnes/todd-starnes-false-claim-joe-biden-got-debate-ques/,2020-09-29,Todd Starnes,pants-fire
72,Says Joe Biden has a medical device implanted in his skull so he can hear someone give him answers to questions.,https://www.politifact.com/factchecks/2020/sep/30/facebook-posts/no-biden-not-getting-help-during-debate-through-me/,2020-09-29,Facebook posts,pants-fire
73,"Ranked-choice voting “increases voter turnout and voter engagement.""",https://www.politifact.com/factchecks/2020/sep/29/kelley-dragoo/dragoo-jumps-gun-ranked-choice-voting-still-debate/,2020-09-29,Kelley Dragoo,barely-true
74,"""Cori Bush is a career criminal and a con artist.”",https://www.politifact.com/factchecks/2020/sep/29/anthony-rogers/cori-bushs-court-cases-arent-criminal-despite-clai/,2020-09-29,Anthony Rogers,false
75,A photo shows Dwayne “The Rock” Johnson on Epstein Island.,https://www.politifact.com/factchecks/2020/sep/29/viral-image/no-photo-doesnt-show-rock-epstein-island/,2020-09-29,Viral image,pants-fire
76,“Bad math (is) driving Wisconsin’s exploding positive test rate.”,https://www.politifact.com/factchecks/2020/sep/29/maciver-institute/analysis-bashing-dhs-covid-19-calculations-built-e/,2020-09-29,MacIver Institute,pants-fire
77,“Don’t buy the new Pepsi can coming out with pics of the Empire State building and the Pledge of Allegiance on them. Pepsi left out 2 little words in the pledge ‘Under God.’”,https://www.politifact.com/factchecks/2020/sep/29/facebook-posts/no-pepsi-didnt-omit-under-god-pledge-allegiance-ca/,2020-09-29,Facebook posts,false
78,Says Merrick Garland is investigating Donald Trump’s “tax evasion case.”,https://www.politifact.com/factchecks/2020/sep/29/facebook-posts/no-merrick-garland-isnt-investigating-donald-trump/,2020-09-29,Facebook posts,false
79,"The typical elementary school teacher pays $7,239 in federal income taxes, and firefighters pay $5,328, while Donald Trump paid $750.",https://www.politifact.com/factchecks/2020/sep/29/joe-biden/biden-ad-compares-trumps-taxes-nurses-firefighters/,2020-09-29,Joe Biden,half-true
80,"""I proudly voted for Hillary Clinton.""",https://www.politifact.com/factchecks/2020/sep/29/molly-gray/attempted-didnt-vote/,2020-09-29,Molly Gray,false
81,"Says over 1,000 mail in ballots were found in a dumpster in California.",https://www.politifact.com/factchecks/2020/sep/28/facebook-posts/ballots-california-dumpster-were-actually-old-empt/,2020-09-28,Facebook posts,false
82,Says Jared Kushner “deleted all of his tweets after the tax story broke.”,https://www.politifact.com/factchecks/2020/sep/28/facebook-posts/no-jared-kushner-did-not-delete-tweets-after-new-y/,2020-09-28,Facebook posts,false
83,A letter from Mississippi Gov. Tate Reeves says that at “the beginning of October 2020 the statewide mask requirements will be abolished.”,https://www.politifact.com/factchecks/2020/sep/28/viral-image/fake-mask-letter-mississippi-gov-tate-reeves-sprea/,2020-09-28,Viral image,false
84,"In 2017, Joe Biden paid $3,742,974 in federal income taxes and Kamala Harris paid $516,469 while Donald Trump paid $750.",https://www.politifact.com/factchecks/2020/sep/28/viral-image/trumps-reported-tax-payments-much-lower-biden-harr/,2020-09-28,Viral image,mostly-true
85,"Says Cal Cunningham “got a $40,000 tax incentive to update his butler’s pantry.”",https://www.politifact.com/factchecks/2020/sep/28/thom-tillis/what-tillis-leaves-out-about-cunninghams-butlers-p/,2020-09-28,Thom Tillis,half-true
86,"Says under U.S. Rep. Alexandria Ocasio-Cortez’s Green New Deal proposal, “Cows are out.”",https://www.politifact.com/factchecks/2020/sep/28/donald-trump/trump-misses-mark-claim-green-new-deal-proposal-wa/,2020-09-28,Donald Trump,false
87,"Says Amy Coney Barrett “has a written track record, disagreeing adamantly with the Supreme Court’s decision to uphold the ACA. In fact, she publicly criticized Chief Justice Roberts’ opinion upholding the law eight years ago.”",https://www.politifact.com/factchecks/2020/sep/28/joe-biden/amy-coney-barrett-supreme-court-and-affordable-car/,2020-09-28,Joe Biden,mostly-true
88,Says House candidate Jon Hoadley voted to defund the police,https://www.politifact.com/factchecks/2020/sep/28/fred-upton/fred-upton-campaign-ad-says-jon-hoadley-voted-defu/,2020-09-28,Fred Upton,false
89,Says Joe Biden “disrespects servicemen” in telling them to “clap for that you stupid bastards.”,https://www.politifact.com/factchecks/2020/sep/28/instagram-posts/fact-checking-claims-biden-called-troops-stupid-ba/,2020-09-28,Instagram posts,half-true
90,"""At the Democratic convention, the Pledge of Allegiance was read with the words 'under God' removed.""",https://www.politifact.com/factchecks/2020/sep/28/republican-party-wisconsin/gop-claim-dems-omitted-god-pledge-dnc-misleads/,2020-09-27,Republican Party of Wisconsin,barely-true
91,"""We have a worse economy than any other country in the world that's going through COVID-19 by a factor of three.""",https://www.politifact.com/factchecks/2020/sep/27/richard-durbin/no-us-economy-not-worst-world-factor-three/,2020-09-27,Richard Durbin,false
92,"Like Al-Qaeda and ISIS, Amy Coney Barrett has said her “end goal is to end the separation of church and state & build a ‘Kingdom of God’ in the United States.”",https://www.politifact.com/factchecks/2020/sep/27/instagram-posts/amy-coney-barretts-kingdom-god-comments-ripped-out/,2020-09-27,Instagram posts,false
93,Says President Trump tweeted that it’s “not fair for a president to leave office because of BAD votes!” and that the Supreme Court “should decide the presidency at every election.”,https://www.politifact.com/factchecks/2020/sep/27/facebook-posts/trump-didnt-tweet-supreme-court-should-decide-pres/,2020-09-27,Facebook posts,false
94,"A graphic on U.S. abortion rates shows larger declines during recent Democratic presidential administrations, and says its due to the party’s approach of making abortions unnecessary, rather than the Republican Party’s approach of making the procedure illegal.",https://www.politifact.com/factchecks/2020/sep/25/facebook-posts/graph-us-abortion-rate-during-different-presidents/,2020-09-25,Facebook posts,half-true
95,Kamala Harris “has not formally taken questions from the press a single time” since she was announced as Joe Biden’s vice presidential pick.,https://www.politifact.com/factchecks/2020/sep/25/dinesh-dsouza/local-national-interviews-show-kamala-harris-has-t/,2020-09-25,Dinesh D'Souza,false
96,"Quotes Donald Trump as saying, “I’ll tell you the funniest thing. I’ll go backstage before a Miss Teen USA show, and everyone’s getting dressed and ready and everything and no men are anywhere. … You know, I’m inspecting. The girls (14-16) are standing there with no clothes on.”",https://www.politifact.com/factchecks/2020/sep/25/viral-image/no-president-trump-didnt-say-about-miss-teen-usa-p/,2020-09-25,Viral image,false
97,"“Biden said today, if he loses, his people will keep burning, looting and killing.”",https://www.politifact.com/factchecks/2020/sep/25/facebook-posts/no-biden-didnt-say-his-people-would-commit-violenc/,2020-09-25,Facebook posts,false
98,“Prop 15 will impose massive property tax increases on Solar in California.”,https://www.politifact.com/factchecks/2020/sep/25/no-prop-15/solar-tax-experts-reject-claim-prop-15-imposes-mas/,2020-09-25,No on Prop 15,false
99,“James is the only Senate candidate in a battleground state who has refused to take a position” on whether the Senate should promptly vote on Trump’s Supreme Court nominee,https://www.politifact.com/factchecks/2020/sep/25/michigan-democratic-party/john-james-lone-senate-candidate-facing-competitiv/,2020-09-25,Michigan Democratic Party,mostly-true
100,Says Judge Amy Coney Barrett said that “gays have a right to be discriminated against because they are against God’s wishes” and that “white people are God’s chosen ones.”,https://www.politifact.com/factchecks/2020/sep/25/facebook-posts/what-social-media-posts-get-wrong-about-amy-coney-/,2020-09-25,Facebook posts,false
101,"Says Sara Gideon ""voted to defund"" the Freeport police ""and gave the money to a nonprofit she helped run.""",https://www.politifact.com/factchecks/2020/sep/25/susan-collins/maine-gop-sen-susan-collins-lobs-false-defund-poli/,2020-09-25,Susan Collins,false
102,"“Coroner saying George Floyd died of drug overdose, not police brutality.”",https://www.politifact.com/factchecks/2020/sep/25/blog-posting/two-autopsies-found-george-floyds-death-was-homici/,2020-09-25,Bloggers,false
103,“In the last 10 years less than half of adults in the U.S. received a flu shot.”,https://www.politifact.com/factchecks/2020/sep/25/michael-burgess/how-many-adults-get-flu-shots-each-year/,2020-09-25,Michael Burgess,true
104,"Says Kentucky Attorney General Daniel Cameron “married his mentor Mitch McConnell's granddaughter.""",https://www.politifact.com/factchecks/2020/sep/25/facebook-posts/no-kentucky-attorney-general-daniel-cameron-did-no/,2020-09-25,Facebook posts,false
105,“(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.”,https://www.politifact.com/factchecks/2020/sep/25/chris-larson/yes-republicans-could-end-evers-state-emergency-an/,2020-09-25,Chris Larson,true
106,"Says Joe Biden's plan for net-zero emissions ""would instantly shut down all fracking and all mining immediately in Pennsylvania.""",https://www.politifact.com/factchecks/2020/sep/25/donald-trump/fact-checking-trumps-claim-biden-would-immediately/,2020-09-25,Donald Trump,false
107,"A U-Haul operated by antifa activists distributed “shields, weapons & black bloc” to protesters in Louisville, Ky., and is linked to “a George Soros-funded initiative.”",https://www.politifact.com/factchecks/2020/sep/24/facebook-posts/fact-checking-disinformation-about-louisville-u-ha/,2020-09-24,Facebook posts,barely-true
108,Says Joe Biden “tried to cut Social Security and Medicare for decades. … Now Biden’s promising your benefits to illegal immigrants.”,https://www.politifact.com/factchecks/2020/sep/24/donald-trump/donald-trump-ad-distorts-bidens-record-social-secu/,2020-09-24,Donald Trump,barely-true
109,"""When California faced a budget crisis,"" Christy Smith ""voted to lay off teachers and then voted to increase her pay.""",https://www.politifact.com/factchecks/2020/sep/24/congressional-leadership-fund/attack-ad-exaggerates-christy-smith-votes-lay-teac/,2020-09-24,Congressional Leadership Fund,barely-true
110,“Only one” Black-owned restaurant in Michigan received a loan through the Paycheck Protection Program,https://www.politifact.com/factchecks/2020/sep/24/kamala-harris/harris-highlights-racial-disparities-distribution-/,2020-09-24,Kamala Harris,barely-true
111,Says “John James supported Betsy DeVos’ agenda to cut public school funding and put it into wealthy private schools instead.”,https://www.politifact.com/factchecks/2020/sep/24/senate-majority-pac/james-supports-school-choice-and-devos-does-he-wan/,2020-09-24,Senate Majority PAC,barely-true
112,"Says Donald Trump is “the worst jobs president in recorded history.""",https://www.politifact.com/factchecks/2020/sep/24/joe-biden/donald-trump-worst-jobs-president-recorded-history/,2020-09-24,Joe Biden,half-true
113,Says Thom Tillis has been “blocking his own party’s efforts to reduce the cost of prescription drugs.”,https://www.politifact.com/factchecks/2020/sep/24/cal-cunningham/cunningham-half-right-about-tillis-role-prescripti/,2020-09-24,Cal Cunningham,half-true
114,Photo shows Dianne Feinstein “bullying” Lisa Murkowski over “the now empty seat of the late Justice Ruth Bader Ginsburg.”,https://www.politifact.com/factchecks/2020/sep/23/blog-posting/photo-feinstein-murkowski-2018-not-2020/,2020-09-23,Bloggers,false
115,Quotes Sen. Mitt Romney as saying: “The Merrick Garland decision wasn’t unfair & the notion that someone has to pay the price to make up for it is wrong.”,https://www.politifact.com/factchecks/2020/sep/23/instagram-posts/romney-quote-about-merrick-garland-supreme-court-v/,2020-09-23,Instagram posts,half-true
116,"Quotes Ronald Reagan as saying, “Keep voting Democrat ... One day they will restrict your freedoms, restrict your history and restrict your safety. All in the name of professional victims that don't understand the consequences of their ignorance.”",https://www.politifact.com/factchecks/2020/sep/23/viral-image/no-ronald-reagan-didnt-say-about-democrats/,2020-09-23,Viral image,false
117,“Guess who is the marketing CEO of Zoom? Pelosi’s daughter/Newsome’s cousin.”,https://www.politifact.com/factchecks/2020/sep/23/viral-image/zoom-ceo-not-related-nancy-pelosi-gavin-newsom/,2020-09-23,Viral image,false
